DB Version;Assembly Accession;Chromosome/Plasmid Name;Chromosome/Plasmid Xref;PGD Gene ID;Locus Tag;Feature Type;Start;End;Strand;Gene Name;Gene synonyns;Product Name;Product Name Confidence Class;Product Synonyms;RefSeq Accession;Length (nucleotides);Length (amino acids);Ortholog Group ID;ortholog_fragment?;Putative Inparalog Locus Tag;Putative Inparalog Name;Putative Inparalog Accession;Percent Identity;Alignment Length
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664168;PSPA7_0688;CDS;696841;697161;-;;;hypothetical protein;;;WP_012074133.1;321;107;POG021648;0;PSPA7_5068;hypothetical protein;WP_012074133.1;100;106
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664170;PSPA7_0689;CDS;697158;699212;-;;;putative tail tape measure protein;;;WP_012074134.1;2055;685;POG021649;0;PSPA7_5067;putative tail tape measure protein;WP_012074134.1;100;684
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664172;PSPA7_0690;CDS;699227;699367;-;;;hypothetical protein;;;WP_012074135.1;141;47;POG021650;0;PSPA7_5066;hypothetical protein;WP_012074135.1;100;46
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664174;PSPA7_0691;CDS;699391;699678;-;;;hypothetical protein;;;WP_012074136.1;288;96;POG021651;0;PSPA7_5065;hypothetical protein;WP_012074136.1;100;95
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664176;PSPA7_0692;CDS;699675;700160;-;;;bacteriophage lysis protein;;;WP_012074137.1;486;162;POG021652;0;PSPA7_5064;bacteriophage lysis protein;WP_012074137.1;100;161
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664178;PSPA7_0693;CDS;700157;700618;-;;;lysozyme;;;WP_012074138.1;462;154;POG023947;0;PSPA7_5063;lysozyme;WP_012074138.1;100;153
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664180;PSPA7_0694;CDS;700615;700869;-;;;hypothetical protein;;;WP_012074139.1;255;85;POG023948;0;PSPA7_5062;hypothetical protein;WP_012074139.1;100;84
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664182;PSPA7_0695;CDS;700920;701129;-;;;hypothetical protein;;;WP_012074140.1;210;70;POG021654;0;PSPA7_5061;hypothetical protein;WP_012074140.1;100;69
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664184;PSPA7_0696;CDS;701129;701578;-;;;tail tube;;;WP_012074141.1;450;150;POG021655;0;PSPA7_5060;tail tube;WP_012074141.1;100;149
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664186;PSPA7_0697;CDS;701582;702697;-;;;tail sheath;;;WP_012074142.1;1116;372;POG021656;0;PSPA7_5059;tail sheath;WP_012074142.1;100;371
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664196;PSPA7_0702;CDS;705099;706121;-;;;P2 family phage major capsid protein;;;WP_012074147.1;1023;341;POG021660;0;PSPA7_5054;P2 family phage major capsid protein;WP_012074147.1;100;340
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664198;PSPA7_0703;CDS;706121;707266;-;;;scaffold;;;YP_001346098.1;1146;382;POG023951;0;PSPA7_5053;scaffold;YP_001350389.1;100;381
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664200;PSPA7_0704;CDS;707232;709280;+;;;hypothetical protein;;;WP_012074149.1;2049;683;POG021661;0;PSPA7_5052;hypothetical protein;WP_012074149.1;100;682
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664202;PSPA7_0705;CDS;709339;710046;+;;;PBSX family phage portal protein;;;YP_001346100.1;708;236;POG021872;0;PSPA7_5051;PBSX family phage portal protein;YP_001350387.1;100;235
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664204;PSPA7_0706;CDS;710328;710537;-;;;hypothetical protein;;;WP_012074151.1;210;70;POG023952;0;PSPA7_5050;hypothetical protein;WP_012074151.1;100;69
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664206;PSPA7_0707;CDS;710896;711177;-;;;hypothetical protein;;;WP_012074152.1;282;94;POG023953;0;PSPA7_5049;hypothetical protein;WP_012074152.1;100;93
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664208;PSPA7_0708;CDS;711174;711404;-;;;hypothetical protein;;;WP_012074153.1;231;77;POG023954;0;PSPA7_5048;hypothetical protein;WP_012074153.1;100;76
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664210;PSPA7_0709;CDS;711401;711616;-;;;hypothetical protein;;;WP_012074154.1;216;72;POG023955;0;PSPA7_5047;hypothetical protein;WP_012074154.1;100;71
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664212;PSPA7_0710;CDS;712084;712440;-;;;hypothetical protein;;;WP_012074155.1;357;119;POG023956;0;PSPA7_5046;hypothetical protein;WP_012074155.1;100;118
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664216;PSPA7_0712;CDS;712829;713029;-;;;hypothetical protein;;;WP_012074157.1;201;67;POG023958;0;PSPA7_5044;hypothetical protein;WP_012074157.1;100;66
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664218;PSPA7_0713;CDS;713460;716153;-;;;phage protein;;;WP_012074158.1;2694;898;POG021662;0;PSPA7_5043;phage protein;WP_012077219.1;99,7;897
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1667029;PSPA7_2119;CDS;2173799;2174929;-;;;acyl-CoA dehydrogenase domain-containing protein;;;WP_012075131.1;1131;377;POG024056;0;PSPA7_5007;acyl-CoA dehydrogenase;WP_003116212.1;31,6;370
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1673049;PSPA7_5133;CDS;5284909;5285700;-;;;hypothetical protein;;;YP_001350469.1;792;264;POG024430;0;"PSPA7_4947 ; PSPA7_5925";"hypothetical protein ; hypothetical protein";"YP_001350283.1 ; YP_001351242.1";"98.9 ; 98.5";"263 ; 263"
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1673295;PSPA7_5256;CDS;5411705;5412055;-;;;hypothetical protein;;;YP_001350588.1;351;117;POG024452;0;PSPA7_4947;hypothetical protein;YP_001350283.1;99,1;108
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1673297;PSPA7_5257;CDS;5412027;5412497;-;;;integrase catalytic subunit;;;YP_001350589.1;471;157;POG024453;0;PSPA7_4947;hypothetical protein;YP_001350283.1;99,4;155
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1672201;PSPA7_4709;CDS;4835643;4835957;+;;;manganese transport protein mntH2;;;WP_012077003.1;315;105;POG024401;0;PSPA7_4904;manganese transport protein MntH;YP_001350240.1;56,2;80
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664602;PSPA7_0905;CDS;907657;908532;+;;;N-acetylmuramoyl-L-alanine amidase AmiD;;;WP_012074265.1;876;292;POG023971;0;PSPA7_4711;hypothetical protein;WP_012077004.1;77,4;252
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1672591;PSPA7_4904;CDS;5058917;5060242;-;;;manganese transport protein MntH;;;YP_001350240.1;1326;442;POG003930;0;PSPA7_4709;manganese transport protein mntH2;WP_012077003.1;56,2;80
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1671080;PSPA7_4146;CDS;4284152;4285933;-;aprD;;alkaline protease secretion protein AprD;;;WP_012076622.1;1782;594;POG001198;0;PSPA7_4417;alkaline protease secretion ATP-binding protein AprD;YP_001349768.1;78,9;38
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1671620;PSPA7_4417;CDS;4550282;4550521;-;;;alkaline protease secretion ATP-binding protein AprD;;;YP_001349768.1;240;80;POG024370;0;PSPA7_4146;alkaline protease secretion protein AprD;WP_012076622.1;78,9;38
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1667183;PSPA7_2196;CDS;2250367;2251611;+;fabF;;3-oxoacyl-(acyl carrier protein) synthase II;;;WP_012075175.1;1245;415;POG002617;0;PSPA7_4011;3-oxoacyl-(acyl carrier protein) synthase II;WP_012076518.1;42,4;92
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664082;PSPA7_0645;CDS;658949;659368;-;;;hypothetical protein;;;WP_012074099.1;420;140;POG000526;0;PSPA7_4007;hypothetical protein;WP_012076514.1;36,6;123
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1670224;PSPA7_3718;CDS;3855983;3856195;-;;;VirD2 components relaxase;;;YP_001349072.1;213;71;POG024285;0;PSPA7_3726;hypothetical protein;YP_001349080.1;91,4;70
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1670208;PSPA7_3710;CDS;3845182;3846120;-;;;LysR family transcriptional regulator;;;WP_012076311.1;939;313;POG024277;0;PSPA7_3723;LysR family transcriptional regulator;YP_001349077.1;83,3;299
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1670240;PSPA7_3726;CDS;3862164;3864137;-;;;hypothetical protein;;;YP_001349080.1;1974;658;POG014169;0;PSPA7_3718;VirD2 components relaxase;YP_001349072.1;91,4;70
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1670234;PSPA7_3723;CDS;3858973;3859905;-;;;LysR family transcriptional regulator;;;YP_001349077.1;933;311;POG014162;0;PSPA7_3710;LysR family transcriptional regulator;WP_012076311.1;83,3;299
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664566;PSPA7_0887;CDS;883177;884394;-;;;phenazine biosynthesis protein PhzC;;;WP_012074248.1;1218;406;POG001495;0;PSPA7_3383;phenazine biosynthesis protein PhzC;WP_012074248.1;100;405
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664564;PSPA7_0886;CDS;882557;883180;-;;;phenazine biosynthesis protein PhzD;;;WP_003157855.1;624;208;POG001494;0;PSPA7_3382;phenazine biosynthesis protein PhzD;WP_003157855.1;100;207
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664562;PSPA7_0885;CDS;880677;882560;-;;;phenazine biosynthesis protein PhzE;;;WP_012074247.1;1884;628;POG001493;0;PSPA7_3381;phenazine biosynthesis protein PhzE;WP_012074247.1;100;627
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664560;PSPA7_0884;CDS;879827;880663;-;;;phenazine biosynthesis protein;;;WP_012074246.1;837;279;POG001492;0;PSPA7_3380;phenazine biosynthesis protein;WP_012074246.1;100;278
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664558;PSPA7_0883;CDS;879157;879801;-;;;pyridoxamine 5-phosphate oxidase;;;WP_012074245.1;645;215;POG001491;0;PSPA7_3379;pyridoxamine 5-phosphate oxidase;WP_012074245.1;100;214
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1668815;PSPA7_3013;CDS;3105868;3106791;+;;;LysR family transcriptional regulator;;;WP_012075784.1;924;308;POG000055;0;PSPA7_3183;LysR family transcriptional regulator;YP_001348543.1;52,5;80
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1666799;PSPA7_2004;CDS;2042408;2043154;-;;;short chain dehydrogenase;;;WP_012075048.1;747;249;POG002470;0;PSPA7_3169;general stress protein 39;YP_001348529.1;43,3;90
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1668691;PSPA7_2951;CDS;3038841;3041252;+;gcd;;glucose dehydrogenase;;;WP_012075731.1;2412;804;POG003207;0;PSPA7_3111;quinoprotein glucose dehydrogenase;WP_012075870.1;51,2;793
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1674856;PSPA7_6038;CDS;6231219;6232445;+;;;transposase mutator family protein;;;WP_010794468.1;1227;409;POG024210;0;PSPA7_3066;transposase mutator family protein;WP_010794468.1;100;408
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1668875;PSPA7_3043;CDS;3144880;3145755;+;;;putative cointegrate resolution protein;;;WP_012075810.1;876;292;POG024197;0;PSPA7_3051;hypothetical protein;YP_001348411.1;63;46
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1668891;PSPA7_3051;CDS;3154246;3154455;+;;;hypothetical protein;;;YP_001348411.1;210;70;POG024197;0;PSPA7_3043;putative cointegrate resolution protein;WP_012075810.1;63;46
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1669155;PSPA7_3183;CDS;3293801;3294244;-;;;LysR family transcriptional regulator;;;YP_001348543.1;444;148;POG024232;0;PSPA7_3013;LysR family transcriptional regulator;WP_012075784.1;52,5;80
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1669011;PSPA7_3111;CDS;3227079;3229337;-;;;quinoprotein glucose dehydrogenase;;;WP_012075870.1;2259;753;POG024221;0;PSPA7_2951;glucose dehydrogenase;WP_012075731.1;51,2;793
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1665187;PSPA7_1198;CDS;1203981;1204229;+;;;hypothetical protein;;;YP_001346583.1;249;83;POG003113;0;PSPA7_2836;hypothetical protein;YP_001348196.1;94,7;57
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1668349;PSPA7_2780;CDS;2815135;2815323;+;;;hypothetical protein;;;YP_001348140.1;189;63;POG024158;0;PSPA7_2794;hypothetical protein;YP_001348154.1;98,4;62
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1668377;PSPA7_2794;CDS;2832530;2832718;+;;;hypothetical protein;;;YP_001348154.1;189;63;POG024158;0;PSPA7_2780;hypothetical protein;YP_001348140.1;98,4;62
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1662878;PSPA7_0043;CDS;42719;44503;+;;;adhesin/hemagglutinin;;;YP_001345439.1;1785;595;POG023856;0;PSPA7_2777;filamentous hemagglutinin;YP_001348137.1;100;488
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1662876;PSPA7_0042;CDS;40918;42606;+;;;hypothetical protein;;;YP_001345438.1;1689;563;POG000040;0;PSPA7_2776;hypothetical protein;YP_001348136.1;99,8;562
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1668337;PSPA7_2774;CDS;2799222;2799746;+;;;hypothetical protein;;;WP_012075591.1;525;175;POG003083;0;PSPA7_2775;hypothetical protein;WP_012075592.1;86,2;29
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1668339;PSPA7_2775;CDS;2799743;2799922;+;;;hypothetical protein;;;WP_012075592.1;180;60;POG024154;0;PSPA7_2774;hypothetical protein;WP_012075591.1;86,2;29
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1667520;PSPA7_2365;CDS;2413464;2413655;-;;;hypothetical protein;;;YP_001347732.1;192;64;POG024065;0;PSPA7_2651;hypothetical protein;WP_012075499.1;98,4;63
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1667568;PSPA7_2389;CDS;2429246;2429554;+;;;hypothetical protein;;;WP_003128477.1;309;103;POG000943;0;PSPA7_2526;hypothetical protein;WP_003128477.1;100;102
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1667570;PSPA7_2390;CDS;2429581;2430408;+;;;hypothetical protein;;;YP_001347757.1;828;276;POG024075;0;PSPA7_2525;hypothetical protein;YP_001347889.1;100;275
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1667839;PSPA7_2525;CDS;2538388;2539215;-;;;hypothetical protein;;;YP_001347889.1;828;276;POG024075;0;PSPA7_2390;hypothetical protein;YP_001347757.1;100;275
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1667841;PSPA7_2526;CDS;2539242;2539550;-;;;hypothetical protein;;;WP_003128477.1;309;103;POG000943;0;PSPA7_2389;hypothetical protein;WP_003128477.1;100;102
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1668091;PSPA7_2651;CDS;2669394;2669726;-;;;hypothetical protein;;;WP_012075499.1;333;111;POG024065;0;PSPA7_2365;hypothetical protein;YP_001347732.1;98,4;63
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1670810;PSPA7_4011;CDS;4150315;4150644;+;;;3-oxoacyl-(acyl carrier protein) synthase II;;;WP_012076518.1;330;110;POG024330;0;PSPA7_2196;3-oxoacyl-(acyl carrier protein) synthase II;WP_012075175.1;42,4;92
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1665917;PSPA7_1563;CDS;1590422;1590892;+;;;hypothetical protein;;;WP_012074736.1;471;157;POG002090;0;PSPA7_2120;YbaK/prolyl-tRNA synthetase associated domain-containing protein;WP_012075132.1;28,6;98
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1672797;PSPA7_5007;CDS;5162233;5163369;-;;;acyl-CoA dehydrogenase;;;WP_003116212.1;1137;379;POG001145;0;PSPA7_2119;acyl-CoA dehydrogenase domain-containing protein;WP_012075131.1;31,6;370
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1669127;PSPA7_3169;CDS;3282720;3283121;-;;;general stress protein 39;;;YP_001348529.1;402;134;POG024230;0;PSPA7_2004;short chain dehydrogenase;WP_012075048.1;43,3;90
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1667031;PSPA7_2120;CDS;2174942;2175412;-;;;YbaK/prolyl-tRNA synthetase associated domain-containing protein;;;WP_012075132.1;471;157;POG024057;0;PSPA7_1563;hypothetical protein;WP_012074736.1;28,6;98
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1668461;PSPA7_2836;CDS;2888738;2888911;-;;;hypothetical protein;;;YP_001348196.1;174;58;POG024176;0;PSPA7_1198;hypothetical protein;YP_001346583.1;94,7;57
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1672205;PSPA7_4711;CDS;4836551;4837318;-;;;hypothetical protein;;;WP_012077004.1;768;256;POG000780;0;PSPA7_0905;N-acetylmuramoyl-L-alanine amidase AmiD;WP_012074265.1;77,4;252
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1669555;PSPA7_3383;CDS;3502511;3503728;-;;;phenazine biosynthesis protein PhzC;;;WP_012074248.1;1218;406;POG001495;0;PSPA7_0887;phenazine biosynthesis protein PhzC;WP_012074248.1;100;405
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1669553;PSPA7_3382;CDS;3501891;3502514;-;;;phenazine biosynthesis protein PhzD;;;WP_003157855.1;624;208;POG001494;0;PSPA7_0886;phenazine biosynthesis protein PhzD;WP_003157855.1;100;207
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1669551;PSPA7_3381;CDS;3500011;3501894;-;;;phenazine biosynthesis protein PhzE;;;WP_012074247.1;1884;628;POG001493;0;PSPA7_0885;phenazine biosynthesis protein PhzE;WP_012074247.1;100;627
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1669549;PSPA7_3380;CDS;3499161;3499997;-;;;phenazine biosynthesis protein;;;WP_012074246.1;837;279;POG001492;0;PSPA7_0884;phenazine biosynthesis protein;WP_012074246.1;100;278
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1669547;PSPA7_3379;CDS;3498491;3499135;-;;;pyridoxamine 5-phosphate oxidase;;;WP_012074245.1;645;215;POG001491;0;PSPA7_0883;pyridoxamine 5-phosphate oxidase;WP_012074245.1;100;214
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664436;PSPA7_0822;CDS;815300;816502;+;tuf2;;elongation factor Tu;;;WP_003161677.1;1203;401;POG001434;0;PSPA7_0835;elongation factor Tu;WP_003115146.1;100;397
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1664462;PSPA7_0835;CDS;831814;833007;+;tuf1;;elongation factor Tu;;;WP_003115146.1;1194;398;POG001434;0;PSPA7_0822;elongation factor Tu;WP_003161677.1;100;397
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1672869;PSPA7_5043;CDS;5192986;5195679;+;;;phage protein;;;WP_012077219.1;2694;898;POG021662;0;PSPA7_0713;phage protein;WP_012074158.1;99,7;897
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1672871;PSPA7_5044;CDS;5196110;5196310;+;;;hypothetical protein;;;WP_012074157.1;201;67;POG023958;0;PSPA7_0712;hypothetical protein;WP_012074157.1;100;66
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1672875;PSPA7_5046;CDS;5196699;5197055;+;;;hypothetical protein;;;WP_012074155.1;357;119;POG023956;0;PSPA7_0710;hypothetical protein;WP_012074155.1;100;118
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1672877;PSPA7_5047;CDS;5197523;5197738;+;;;hypothetical protein;;;WP_012074154.1;216;72;POG023955;0;PSPA7_0709;hypothetical protein;WP_012074154.1;100;71
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1672879;PSPA7_5048;CDS;5197735;5197965;+;;;hypothetical protein;;;WP_012074153.1;231;77;POG023954;0;PSPA7_0708;hypothetical protein;WP_012074153.1;100;76
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1672881;PSPA7_5049;CDS;5197962;5198243;+;;;hypothetical protein;;;WP_012074152.1;282;94;POG023953;0;PSPA7_0707;hypothetical protein;WP_012074152.1;100;93
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1672883;PSPA7_5050;CDS;5198602;5198811;+;;;hypothetical protein;;;WP_012074151.1;210;70;POG023952;0;PSPA7_0706;hypothetical protein;WP_012074151.1;100;69
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1672885;PSPA7_5051;CDS;5199093;5199800;-;;;PBSX family phage portal protein;;;YP_001350387.1;708;236;POG021872;0;PSPA7_0705;PBSX family phage portal protein;YP_001346100.1;100;235
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1672887;PSPA7_5052;CDS;5199859;5201907;-;;;hypothetical protein;;;WP_012074149.1;2049;683;POG021661;0;PSPA7_0704;hypothetical protein;WP_012074149.1;100;682
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1672889;PSPA7_5053;CDS;5201873;5203018;+;;;scaffold;;;YP_001350389.1;1146;382;POG023951;0;PSPA7_0703;scaffold;YP_001346098.1;100;381
20,1;GCF_000017205.1;chromosome;NC_009656.1;PGD1672891;PSPA7_5054;CDS;5203018;5204040;+;;;P2 family phage major capsid protein;;;WP_012074147.1;1023;341;POG021660;0;PSPA7_0702;P2 family phage major capsid protein;WP_012074147.1;100;340
